No.,Time,Source,Destination,Protocol,Length,Info
1144,30.035186,10.12.35.246,142.250.192.34,TLSv1.2,89,Application Data
1145,30.038317,142.250.192.34,10.12.35.246,TLSv1.2,239,Application Data
1146,30.038345,10.12.35.246,142.250.192.34,TCP,54,52459  >  443 [ACK] Seq=298 Ack=791 Win=512 Len=0
1147,30.039866,10.12.35.246,142.250.199.174,TCP,55,52405  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]
1148,30.042653,142.250.192.34,10.12.35.246,TLSv1.2,93,Application Data
1149,30.04269,10.12.35.246,142.250.192.34,TCP,54,52459  >  443 [ACK] Seq=298 Ack=830 Win=512 Len=0
1150,30.042795,10.12.35.246,142.250.192.34,TLSv1.2,93,Application Data
1151,30.05915,10.12.35.246,142.250.182.206,TLSv1.2,612,Application Data
1152,30.059201,10.12.35.246,142.250.182.206,TCP,1466,52387  >  443 [ACK] Seq=6457 Ack=316 Win=257 Len=1412 [TCP segment of a reassembled PDU]
1153,30.059201,10.12.35.246,142.250.182.206,TCP,1466,52387  >  443 [ACK] Seq=7869 Ack=316 Win=257 Len=1412 [TCP segment of a reassembled PDU]
1154,30.059201,10.12.35.246,142.250.182.206,TLSv1.2,1236,Application Data
1155,30.097906,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.51.188? Tell 10.12.32.1
1156,30.097934,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.37.13? Tell 10.12.63.254
1157,30.097943,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.38.12? Tell 10.12.63.254
1158,30.09795,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.38.171? Tell 10.12.63.254
1159,30.111138,142.250.192.34,10.12.35.246,TCP,60,443  >  52459 [ACK] Seq=830 Ack=298 Win=271 Len=0
1160,30.111138,142.250.199.174,10.12.35.246,TCP,66,443  >  52405 [ACK] Seq=1 Ack=2 Win=283 Len=0 SLE=1 SRE=2
1161,30.111138,142.250.192.34,10.12.35.246,TCP,60,443  >  52459 [ACK] Seq=830 Ack=337 Win=271 Len=0
1162,30.114775,142.250.182.206,10.12.35.246,TCP,60,443  >  52387 [ACK] Seq=316 Ack=6457 Win=659 Len=0
1163,30.122729,142.250.182.206,10.12.35.246,TCP,60,443  >  52387 [ACK] Seq=316 Ack=7869 Win=670 Len=0
1164,30.133218,142.250.182.206,10.12.35.246,TCP,60,443  >  52387 [ACK] Seq=316 Ack=9281 Win=681 Len=0
1165,30.133253,142.250.182.206,10.12.35.246,TCP,60,443  >  52387 [ACK] Seq=316 Ack=10463 Win=692 Len=0
1166,30.193925,fe80::c8dd:b2ff:fe91:8fb2,ff02::fb,MDNS,416,"Standard query response 0x0000 SRV, cache flush 0 0 56666 Android-2.local PTR, cache flush Android-2.local PTR, cache flush Android-2.local A, cache flush 10.12.35.98 AAAA, cache flush fe80::c8dd:b2ff:fe91:8fb2 NSEC, cache flush {""nm"":""Keerthana Redmi"",""as"":""[8194]"",""ip"":""98""}._mi-connect._udp.local NSEC, cache flush 98.35.12.10.in-addr.arpa NSEC, cache flush 2.B.F.8.1.9.E.F.F.F.2.B.D.D.8.C.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-2.local"
